Index,Call_1,Call_2,Call_3,Call_4,Call_5,Call_6,Call_7,Call_8,Func_Call_1,Func_Call_2,Func_Call_3,Func_Call_4,Deadlock
47,3,2,0,1,0,3,2,2,2,1,3,2,1
48,1,0,3,0,3,1,0,2,3,2,1,2,1
49,0,3,0,1,1,2,3,3,2,2,1,3,1
50,1,1,0,3,3,2,2,1,1,3,2,2,1
51,3,0,1,2,0,3,0,0,4,1,1,2,1
52,0,2,0,1,3,0,1,0,4,2,1,1,0
53,3,3,2,3,0,2,1,1,1,2,2,3,-1
54,2,2,2,3,3,0,1,0,2,1,3,2,-1
55,1,0,0,3,3,3,1,2,2,2,1,3,-1
56,3,1,2,0,2,2,1,1,1,3,3,1,1
57,3,0,3,1,2,2,0,2,2,1,3,2,1
58,3,0,0,1,2,2,3,0,3,1,2,2,1
59,3,2,1,3,0,0,2,2,2,1,3,2,-1
60,1,0,3,1,2,1,1,3,1,4,1,2,-1
61,3,1,2,3,0,0,3,1,2,2,1,3,-1
62,2,1,2,1,3,2,1,3,0,3,3,2,1
63,0,1,2,3,2,0,0,2,3,1,3,1,1
64,2,3,1,1,3,1,2,3,0,3,2,3,1
65,1,2,1,2,3,0,0,1,2,3,2,1,1
66,1,3,3,1,0,0,1,3,2,3,0,3,1
67,3,2,1,1,2,0,3,2,1,2,3,2,1
68,1,1,1,3,3,2,0,2,1,3,2,2,1
69,3,0,2,1,0,1,0,2,3,2,2,1,1
70,1,0,2,1,2,3,0,3,2,2,2,2,1
71,0,3,1,1,3,1,3,2,1,3,1,3,1
72,3,1,1,2,0,2,0,0,3,2,2,1,1
73,1,3,2,3,3,1,3,2,0,2,2,4,1
74,3,1,1,3,2,0,3,0,2,2,1,3,-1
75,0,1,2,2,3,2,1,0,2,2,3,1,-1
76,1,3,2,2,3,0,0,3,2,1,2,3,1
77,0,1,1,3,1,0,2,2,2,3,2,1,-1
78,1,2,0,0,3,0,1,3,3,2,1,2,1
79,2,2,3,3,3,0,0,2,2,0,3,3,1
80,3,0,2,0,1,3,0,1,3,2,1,2,-1
81,0,3,1,1,1,1,0,3,2,4,0,2,1
82,0,2,1,3,2,1,3,1,1,3,2,2,-1
83,3,2,1,0,2,0,2,2,2,1,4,1,-1
84,2,2,0,3,3,0,2,1,2,1,3,2,1
85,1,2,3,2,0,0,1,3,2,2,2,2,1
86,2,3,3,1,3,1,0,0,2,2,1,3,1
87,0,2,2,1,1,1,3,3,1,3,2,2,1
88,1,0,2,1,0,3,3,2,2,2,2,2,-1
89,1,2,3,0,0,0,2,1,3,2,2,1,1
90,2,3,3,2,3,0,1,0,2,1,2,3,1
91,0,0,3,1,2,3,0,0,4,1,1,2,1
92,3,2,0,1,0,3,3,3,2,1,1,4,1
93,3,2,1,2,1,1,2,3,0,3,3,2,-1
94,3,0,2,0,1,1,0,3,3,2,1,2,1
95,0,1,2,0,3,2,1,1,2,3,2,1,0
96,0,3,3,0,3,1,2,2,2,1,2,3,1
97,3,2,2,3,2,0,1,1,1,2,3,2,-1
98,1,2,1,1,2,3,0,3,1,3,2,2,1
99,2,3,1,0,1,2,2,3,1,2,3,2,1
100,1,0,0,3,3,3,2,1,2,2,1,3,1
101,0,1,1,2,3,3,2,0,2,2,2,2,1
102,1,0,2,3,0,3,0,2,3,1,2,2,-1
103,2,3,1,3,1,1,3,0,1,3,1,3,-1
104,1,0,2,0,0,2,3,3,3,1,2,2,1
105,1,2,0,0,0,0,1,3,4,2,1,1,1
106,3,3,1,0,1,0,2,3,2,2,1,3,1
107,3,3,0,2,1,0,1,1,2,3,1,2,1
108,3,1,2,3,1,0,3,2,1,2,2,3,-1
109,3,3,0,0,2,1,2,1,2,2,2,2,1
110,3,2,3,3,1,3,2,0,1,1,2,4,1
111,1,2,0,0,2,3,2,1,2,2,3,1,1
112,3,3,0,2,1,2,3,1,1,2,2,3,1
113,3,3,1,2,1,2,3,3,0,2,2,4,-1
114,2,0,0,1,1,2,3,2,2,2,3,1,1
115,3,1,1,0,0,3,0,3,3,2,0,3,1
116,2,1,2,1,1,2,3,0,1,3,3,1,1
117,1,2,2,0,0,3,1,1,2,3,2,1,1
118,1,2,2,0,0,0,1,1,3,3,2,0,1
119,1,3,3,0,2,0,1,1,2,3,1,2,1
120,0,2,3,3,3,1,1,2,1,2,2,3,1
121,0,0,3,2,3,2,0,1,3,1,2,2,1
122,3,2,0,1,1,3,3,2,1,2,2,3,1
123,0,0,2,0,3,1,0,2,4,1,2,1,-1
124,3,1,3,1,0,0,2,2,2,2,2,2,0
125,1,3,2,3,2,2,1,0,1,2,3,2,1
126,0,0,3,2,1,3,0,1,3,2,1,2,1
127,3,0,2,2,1,3,0,3,2,1,2,3,-1
128,0,1,2,0,3,0,0,1,4,2,1,1,-1
129,0,2,0,2,2,3,3,0,3,0,3,2,1
130,0,1,3,3,2,3,2,1,1,2,2,3,1
131,2,1,0,1,0,2,2,0,3,2,3,0,1
132,2,1,0,0,3,2,3,2,2,1,3,2,1
133,2,3,3,0,1,1,0,1,2,3,1,2,1
134,0,3,2,1,3,0,3,0,3,1,1,3,1
135,0,2,3,1,1,1,0,2,2,3,2,1,1
136,2,2,1,0,3,0,3,3,2,1,2,3,1
137,1,3,3,1,3,2,0,2,1,2,2,3,1
138,3,3,0,0,1,0,1,3,3,2,0,3,1
139,1,1,3,1,0,2,2,3,1,3,2,2,1
140,3,3,0,0,2,0,3,2,3,0,2,3,1
141,3,2,3,2,0,0,1,1,2,2,2,2,1
142,3,0,1,1,2,3,3,0,2,2,1,3,-1
143,1,0,3,2,3,2,2,0,2,1,3,2,-1
144,3,0,0,1,2,2,3,3,2,1,2,3,1
145,3,3,2,1,0,1,3,3,1,2,1,4,-1
146,2,0,2,1,0,1,1,3,2,3,2,1,-1
147,1,1,1,0,3,0,2,2,2,3,2,1,1
148,2,1,1,2,3,3,0,0,2,2,2,2,1
149,0,3,0,2,1,2,2,3,2,1,3,2,1
150,0,0,3,1,3,2,2,2,2,1,3,2,1
151,0,1,2,2,1,0,3,0,3,2,2,1,1
152,3,0,2,3,0,1,0,1,3,2,1,2,1
153,2,0,3,1,1,2,1,2,1,3,3,1,-1
154,0,3,2,1,2,1,3,0,2,2,2,2,1
155,1,0,3,0,2,1,2,3,2,2,2,2,1
156,0,2,3,3,3,1,2,1,1,2,2,3,1
157,3,1,0,2,2,0,1,0,3,2,2,1,1
158,2,3,0,0,1,2,3,1,2,2,2,2,1
159,1,2,1,0,0,0,2,3,3,2,2,1,1
160,1,1,1,2,3,2,0,1,1,4,2,1,1
161,1,3,2,0,2,1,1,2,1,3,3,1,1
162,2,3,1,2,0,1,2,1,1,3,3,1,-1
163,3,3,0,0,0,2,1,3,3,1,1,3,1
164,2,2,1,3,3,1,3,2,0,2,3,3,-1
165,0,2,1,3,1,1,0,2,2,3,2,1,1
166,1,3,3,0,3,0,2,3,2,1,1,4,1
167,1,3,0,3,2,2,1,1,1,3,2,2,1
168,0,2,3,1,1,1,1,3,1,4,1,2,1
169,1,2,0,2,3,0,1,3,2,2,2,2,1
170,1,1,3,3,2,0,0,2,2,2,2,2,0
171,0,0,2,2,2,1,0,3,3,1,3,1,1
172,1,2,1,3,2,0,3,0,2,2,2,2,1
173,2,0,0,1,1,2,1,2,2,3,3,0,1
174,1,2,3,1,3,3,1,2,0,3,2,3,1
175,3,1,0,3,2,3,2,0,2,1,2,3,1
176,3,1,2,3,2,0,1,0,2,2,2,2,1
177,2,2,0,0,0,3,1,3,3,1,2,2,1
178,2,3,1,1,1,1,2,3,0,4,2,2,1
179,1,2,3,0,3,1,1,1,1,4,1,2,1
180,1,1,2,1,3,2,1,0,1,4,2,1,1
181,3,1,0,0,2,0,1,2,3,2,2,1,1
182,3,1,0,1,0,0,1,3,3,3,0,2,1
183,1,0,3,0,3,3,0,1,3,2,0,3,1
184,1,1,3,2,0,2,1,3,1,3,2,2,1
185,3,0,2,2,0,2,1,3,2,1,3,2,-1
186,0,3,2,3,1,0,3,1,2,2,1,3,1
187,2,0,1,2,0,2,2,3,2,1,4,1,-1
188,0,0,3,0,3,2,2,1,3,1,2,2,1
189,0,1,0,2,3,3,2,1,2,2,2,2,1
190,2,0,0,3,3,1,3,2,2,1,2,3,1
191,2,0,3,0,1,2,2,1,2,2,3,1,1
192,0,2,0,3,3,3,1,0,3,1,1,3,1
193,0,2,1,0,3,1,2,2,2,2,3,1,0
194,0,1,0,2,2,0,1,1,3,3,2,0,1
195,2,0,0,3,0,3,2,2,3,0,3,2,1
196,2,0,3,2,0,1,0,1,3,2,2,1,-1
197,2,0,0,0,3,2,3,1,3,1,2,2,1
198,3,3,3,2,2,1,0,0,2,1,2,3,1
199,0,1,2,3,1,3,0,1,2,3,1,2,1
200,0,0,2,2,2,3,3,1,2,1,3,2,1
201,2,1,1,0,1,3,0,1,2,4,1,1,1
202,1,0,3,2,0,2,1,1,2,3,2,1,-1
203,3,1,2,2,2,0,1,3,1,2,3,2,-1
204,2,1,3,3,0,0,0,1,3,2,1,2,0
205,2,1,0,0,0,2,2,1,3,2,3,0,1
206,1,3,1,2,3,0,2,1,1,3,2,2,1
207,3,2,2,1,2,0,3,2,1,1,4,2,1
208,1,2,3,3,3,3,0,1,1,2,1,4,1
209,3,3,0,0,1,2,1,2,2,2,2,2,1
210,2,2,3,1,3,1,1,2,0,3,3,2,1
211,1,2,1,3,3,1,2,2,0,3,3,2,1
212,1,0,2,3,2,1,0,2,2,2,3,1,1
213,0,1,3,0,2,3,0,3,3,1,1,3,1
214,3,1,2,2,1,0,1,0,2,3,2,1,1
215,1,0,2,3,0,3,0,1,3,2,1,2,-1
216,2,3,1,2,1,1,3,0,1,3,2,2,-1
217,2,0,1,0,3,1,3,3,2,2,1,3,1
218,2,3,2,1,0,2,1,3,1,2,3,2,1
219,0,1,1,2,1,3,0,1,2,4,1,1,1
220,0,3,1,2,3,0,2,3,2,1,2,3,-1
221,3,3,0,2,0,1,1,3,2,2,1,3,1
222,1,3,0,2,2,2,3,0,2,1,3,2,1
223,3,1,0,0,0,3,1,2,3,2,1,2,1
224,3,1,0,1,2,3,2,2,1,2,3,2,1
225,1,2,1,3,0,1,3,0,2,3,1,2,1
226,0,2,0,0,2,1,1,3,3,2,2,1,1
227,1,0,2,1,3,2,1,0,2,3,2,1,-1
228,0,3,1,2,2,0,2,1,2,2,3,1,1
229,0,2,1,1,1,1,2,0,2,4,2,0,1
230,1,1,2,2,2,3,3,1,0,3,3,2,1
231,0,2,1,0,2,3,3,3,2,1,2,3,1
232,1,0,1,2,0,3,2,0,3,2,2,1,1
233,0,2,1,3,3,0,2,1,2,2,2,2,1
234,3,2,2,3,0,3,1,1,1,2,2,3,1
235,2,1,3,0,1,0,0,3,3,2,1,2,1
236,0,3,0,2,2,1,3,3,2,1,2,3,1
237,1,3,2,1,2,0,1,3,1,3,2,2,1
238,3,3,0,1,1,0,3,0,3,2,0,3,1
239,2,1,3,0,0,0,1,2,3,2,2,1,1
240,3,0,2,2,2,2,0,3,2,0,4,2,1
241,0,0,0,1,1,3,2,2,3,2,2,1,1
242,0,2,1,0,2,0,0,3,4,1,2,1,1
243,3,2,1,0,1,0,0,3,3,2,1,2,1
244,0,3,2,2,3,0,1,3,2,1,2,3,-1
245,0,0,1,1,2,3,0,2,3,2,2,1,1
246,1,0,3,3,0,3,2,0,3,1,1,3,-1
247,2,2,0,3,3,1,2,1,1,2,3,2,1
248,1,3,0,2,0,2,2,0,3,1,3,1,1
249,3,0,1,2,1,1,2,1,1,4,2,1,1
250,3,0,0,1,2,1,2,0,3,2,2,1,1
251,1,0,3,0,0,3,2,2,3,1,2,2,1
252,3,1,1,1,0,0,3,2,2,3,1,2,-1
253,3,0,2,0,0,1,3,2,3,1,2,2,1
254,0,2,2,3,1,1,0,2,2,2,3,1,1
255,3,3,0,1,0,2,2,2,2,1,3,2,1
256,3,2,3,1,0,0,2,0,3,1,2,2,1
257,0,3,1,1,1,0,0,3,3,3,0,2,1
258,0,2,3,2,3,0,2,3,2,0,3,3,1
259,2,1,0,1,0,3,3,2,2,2,2,2,1
260,1,3,2,3,2,2,0,0,2,1,3,2,1
261,1,3,0,3,2,1,2,0,2,2,2,2,1
262,2,3,0,1,1,0,3,0,3,2,1,2,1
263,0,2,0,1,3,1,1,2,2,3,2,1,0
264,0,1,1,2,2,2,0,1,2,3,3,0,1
265,2,0,0,1,0,2,1,3,3,2,2,1,1
266,3,0,2,0,0,3,3,2,3,0,2,3,1
267,1,0,3,1,2,1,2,3,1,3,2,2,-1
268,3,1,2,2,0,0,1,3,2,2,2,2,0
269,2,1,0,3,1,0,1,2,2,3,2,1,1
270,3,0,0,2,2,1,2,1,2,2,3,1,1
271,0,3,2,1,1,0,0,3,3,2,1,2,1
272,0,2,3,0,1,1,0,3,3,2,1,2,1
273,2,0,1,2,1,3,3,3,1,2,2,3,-1
274,2,3,1,3,0,1,3,0,2,2,1,3,-1
275,1,0,0,3,2,3,2,1,2,2,2,2,1
276,0,3,0,2,1,1,2,1,2,3,2,1,1
277,1,2,2,2,2,0,3,1,1,2,4,1,1
278,1,1,2,1,2,3,3,0,1,3,2,2,1
279,3,1,2,0,2,2,3,3,1,1,3,3,1
280,1,0,2,0,0,1,1,2,3,3,2,0,1
281,0,2,1,1,1,3,0,2,2,3,2,1,1
282,3,2,2,2,0,0,1,3,2,1,3,2,-1
283,2,1,3,0,1,3,0,1,2,3,1,2,1
284,3,0,2,1,2,2,0,0,3,1,3,1,-1
285,0,1,0,1,1,3,3,0,3,3,0,2,1
286,2,1,3,2,0,2,1,3,1,2,3,2,1
287,0,1,2,0,2,2,3,3,2,1,3,2,1
288,0,2,3,1,3,0,2,2,2,1,3,2,1
289,1,2,0,3,0,3,2,2,2,1,3,2,1
290,3,1,0,0,2,2,2,3,2,1,3,2,1
291,2,0,2,0,0,3,3,1,3,1,2,2,1
292,1,3,2,0,0,0,1,3,3,2,1,2,1
293,0,3,0,0,2,1,3,1,3,2,1,2,1
294,3,1,2,0,0,2,0,1,3,2,2,1,1
295,2,3,1,3,1,2,3,0,1,2,2,3,-1
296,3,1,0,2,0,0,1,0,4,2,1,1,1
297,1,2,2,0,2,1,3,3,1,2,3,2,1
298,0,0,2,2,2,3,0,3,3,0,3,2,1
299,3,1,2,1,2,3,3,2,0,2,3,3,1
300,1,0,0,2,2,2,3,0,3,1,3,1,1
301,3,0,1,2,2,3,0,0,3,1,2,2,1
302,3,3,1,0,1,2,2,2,1,2,3,2,1
303,0,2,0,0,2,1,3,1,3,2,2,1,1
304,2,1,1,2,3,2,3,1,0,3,3,2,1
305,1,3,2,0,2,1,3,1,1,3,2,2,1
306,0,2,1,2,2,3,3,1,1,2,3,2,1
307,3,0,1,2,1,2,0,1,2,3,2,1,1
308,3,3,3,0,2,0,1,3,2,1,1,4,1
309,2,2,1,3,1,0,0,0,3,2,2,1,1
310,3,3,3,0,0,2,1,1,2,2,1,3,1
311,1,2,3,0,0,0,0,3,4,1,1,2,1
312,3,0,0,2,0,3,2,0,4,0,2,2,1
313,3,2,3,1,1,1,0,0,2,3,1,2,1
314,3,0,3,1,0,2,2,2,2,1,3,2,1
315,1,3,3,2,0,1,0,0,3,2,1,2,1
316,0,1,3,2,1,3,2,1,1,3,2,2,1
317,1,0,0,1,2,1,2,3,2,3,2,1,1
318,3,2,0,2,0,1,1,3,2,2,2,2,1
319,0,0,1,0,3,2,0,1,4,2,1,1,1
320,0,1,1,2,3,3,2,1,1,3,2,2,1
321,0,3,3,3,2,2,0,1,2,1,2,3,1
322,1,0,3,2,2,3,0,3,2,1,2,3,-1
323,3,0,0,1,1,2,1,2,2,3,2,1,1
324,0,2,1,3,3,0,3,0,3,1,1,3,-1
325,0,2,0,0,3,1,2,1,3,2,2,1,-1
326,3,1,2,2,2,0,0,3,2,1,3,2,1
327,3,2,0,1,2,3,3,0,2,1,2,3,1
328,3,3,2,2,1,0,0,1,2,2,2,2,1
329,3,1,2,2,1,0,3,1,1,3,2,2,-1
330,0,3,3,1,2,2,1,2,1,2,3,2,1
331,0,1,0,1,3,3,1,2,2,3,1,2,1
332,1,2,2,3,2,3,0,1,1,2,3,2,1
333,2,1,0,2,1,0,1,0,3,3,2,0,1
334,2,1,3,3,0,2,1,0,2,2,2,2,1
335,0,3,3,2,1,1,0,3,2,2,1,3,-1
336,1,0,1,3,3,2,0,1,2,3,1,2,1
337,3,1,3,3,2,3,1,0,1,2,1,4,-1
338,2,3,2,3,1,2,0,1,1,2,3,2,1
339,3,1,0,2,0,2,1,1,2,3,2,1,1
340,0,3,2,3,2,1,0,2,2,1,3,2,1
341,3,1,3,2,1,0,0,3,2,2,1,3,-1
342,2,0,2,1,1,1,3,2,1,3,3,1,1
343,0,0,1,0,2,3,0,1,4,2,1,1,1
344,1,1,2,0,2,0,1,2,2,3,3,0,1
345,2,0,2,0,1,1,3,2,2,2,3,1,1
346,2,1,0,1,0,3,2,0,3,2,2,1,1
347,1,2,3,2,3,1,2,0,1,2,3,2,1
348,0,1,3,0,3,2,0,1,3,2,1,2,1
349,0,3,2,3,1,2,0,1,2,2,2,2,1
350,2,0,2,1,0,2,3,3,2,1,3,2,-1
351,2,2,1,0,1,0,3,1,2,3,2,1,1
352,1,0,1,2,3,2,0,1,2,3,2,1,-1
353,3,0,0,1,1,3,2,0,3,2,1,2,1
354,0,1,1,0,1,3,2,2,2,3,2,1,1
355,1,2,2,2,2,3,1,0,1,2,4,1,1
356,2,1,1,3,1,0,3,2,1,3,2,2,-1
357,2,1,1,3,3,0,3,1,1,3,1,3,-1
358,1,0,2,2,0,2,1,0,3,2,3,0,-1
359,3,1,0,3,1,0,1,0,3,3,0,2,1
360,0,2,1,1,1,1,0,2,2,4,2,0,1
361,0,3,0,1,3,0,2,2,3,1,2,2,1
362,0,0,2,0,1,2,3,3,3,1,2,2,1
363,2,1,0,0,0,0,3,2,4,1,2,1,1
364,2,1,3,2,1,0,1,3,1,3,2,2,0
365,3,1,2,0,2,2,1,2,1,2,4,1,1
366,3,1,0,0,2,2,3,2,2,1,3,2,1
367,2,1,3,2,3,3,2,0,1,1,3,3,1
368,3,1,1,3,1,3,0,2,1,3,1,3,1
369,3,0,1,3,2,3,3,0,2,1,1,4,-1
370,2,1,0,0,3,2,1,3,2,2,2,2,1
371,0,2,1,1,2,1,0,3,2,3,2,1,1
372,0,1,1,3,3,0,3,1,2,3,0,3,1
373,2,2,2,0,0,1,3,1,2,2,3,1,1
374,0,2,2,3,3,3,0,0,3,0,2,3,1
375,1,3,3,0,2,0,1,2,2,2,2,2,1
376,1,0,2,1,0,2,1,2,2,3,3,0,-1
377,2,2,3,1,0,1,0,0,3,2,2,1,1
378,1,1,2,0,2,0,0,3,3,2,2,1,1
379,3,0,1,2,2,2,2,1,1,2,4,1,1
380,2,2,3,0,0,1,2,2,2,1,4,1,1
381,2,1,0,1,1,3,1,0,2,4,1,1,1
382,2,3,2,0,3,1,1,2,1,2,3,2,0
383,3,2,0,3,2,1,2,0,2,1,3,2,1
384,0,3,0,2,2,0,3,0,4,0,2,2,1
385,3,0,0,0,1,2,3,1,3,2,1,2,1
386,1,0,3,0,0,3,2,1,3,2,1,2,1
387,2,3,0,1,0,2,2,0,3,1,3,1,1
388,0,2,0,2,3,3,1,1,2,2,2,2,0
389,2,3,1,0,3,2,0,3,2,1,2,3,1
390,2,1,0,3,1,0,3,1,2,3,1,2,1
391,2,0,2,3,0,2,3,2,2,0,4,2,1
392,3,0,2,2,2,2,1,3,1,1,4,2,-1
393,0,2,0,2,3,1,2,3,2,1,3,2,0
394,0,2,0,1,3,0,1,2,3,2,2,1,0
395,0,2,3,0,1,3,0,2,3,1,2,2,1
396,0,2,0,3,2,3,1,2,2,1,3,2,1
397,1,1,0,1,2,0,2,3,2,3,2,1,1
398,3,0,2,3,0,1,1,2,2,2,2,2,0
399,0,1,2,3,3,3,1,2,1,2,2,3,1
400,1,2,3,2,0,1,1,3,1,3,2,2,1
401,1,3,0,2,0,1,3,3,2,2,1,3,
402,0,2,1,1,2,1,2,0,2,3,3,0,
403,3,2,2,0,1,3,1,3,1,2,2,3,
404,2,3,1,2,1,2,2,3,0,2,4,2,
405,2,2,1,3,3,1,3,0,1,2,2,3,
406,2,0,1,2,0,1,3,3,2,2,2,2,
407,0,3,3,1,1,1,0,0,3,3,0,2,
408,1,1,3,2,3,2,0,3,1,2,2,3,
409,0,3,2,0,1,0,0,2,4,1,2,1,
410,1,0,0,3,2,2,1,2,2,2,3,1,
411,2,0,0,3,3,3,2,2,2,0,3,3,
412,1,2,2,0,3,1,3,3,1,2,2,3,
413,0,1,1,0,2,3,0,1,3,3,1,1,
414,2,3,1,0,3,2,2,1,1,2,3,2,
415,2,0,2,2,3,3,0,1,2,1,3,2,
416,0,2,2,1,3,3,1,2,1,2,3,2,
417,0,2,3,3,2,1,1,0,2,2,2,2,
418,1,2,1,0,0,3,3,2,2,2,2,2,
419,3,2,0,0,2,1,2,3,2,1,3,2,
420,1,3,2,3,0,2,1,1,1,3,2,2,
421,2,3,1,0,3,1,3,1,1,3,1,3,
422,3,1,1,3,0,0,3,2,2,2,1,3,
423,3,0,0,2,0,1,2,0,4,1,2,1,
424,2,1,0,3,1,3,3,0,2,2,1,3,
425,0,2,1,0,3,1,3,1,2,3,1,2,
426,0,3,1,2,2,1,0,3,2,2,2,2,
427,3,2,3,1,2,1,0,0,2,2,2,2,
428,3,1,2,1,2,0,3,2,1,2,3,2,
429,3,2,0,1,1,3,3,0,2,2,1,3,
430,1,0,2,0,3,3,0,2,3,1,2,2,
431,3,2,3,2,2,3,1,1,0,2,3,3,
432,3,1,1,0,1,2,0,1,2,4,1,1,
433,2,0,0,0,1,3,1,2,3,2,2,1,
434,0,3,3,1,3,1,0,2,2,2,1,3,
435,1,2,0,2,0,1,3,3,2,2,2,2,
436,0,2,0,1,1,1,2,0,3,3,2,0,
437,3,3,1,2,2,1,3,3,0,2,2,4,
438,2,3,1,3,3,0,0,1,2,2,1,3,
439,2,3,2,3,1,0,3,2,1,1,3,3,
440,1,3,0,0,3,2,3,1,2,2,1,3,
441,0,2,3,1,2,0,0,2,3,1,3,1,
442,0,2,2,1,2,0,1,2,2,2,4,0,
443,1,0,3,1,3,3,0,0,3,2,0,3,
444,1,0,2,0,0,3,1,2,3,2,2,1,
445,1,3,2,1,0,0,3,3,2,2,1,3,
446,3,0,2,2,2,2,1,0,2,1,4,1,
447,0,2,0,1,3,1,1,3,2,3,1,2,
448,3,2,1,2,1,3,3,0,1,2,2,3,
449,0,1,3,1,2,2,0,0,3,2,2,1,
450,3,0,1,0,0,3,2,2,3,1,2,2,
451,1,1,2,3,3,2,0,2,1,2,3,2,
452,3,0,1,3,2,1,3,1,1,3,1,3,
453,3,2,2,0,0,1,0,1,3,2,2,1,
454,0,1,2,3,2,2,0,1,2,2,3,1,
455,2,2,1,3,0,1,3,0,2,2,2,2,
456,1,3,3,2,0,1,2,3,1,2,2,3,
457,3,1,0,2,1,3,1,0,2,3,1,2,
458,3,2,1,1,0,1,3,0,2,3,1,2,
459,0,2,2,1,3,1,3,0,2,2,2,2,
460,2,1,2,3,0,2,1,2,1,2,4,1,
461,3,1,0,3,1,0,3,0,3,2,0,3,
462,0,2,1,1,2,0,0,3,3,2,2,1,
463,1,3,3,2,2,2,0,3,1,1,3,3,
464,1,2,0,1,3,3,1,0,2,3,1,2,
465,0,1,2,2,1,2,0,1,2,3,3,0,
466,3,2,3,1,1,1,0,3,1,3,1,3,
467,0,3,2,3,3,2,3,0,2,0,2,4,
468,2,1,0,3,1,0,2,1,2,3,2,1,
469,1,3,3,2,0,2,0,3,2,1,2,3,
470,1,3,2,1,2,1,0,0,2,3,2,1,
471,3,2,3,1,0,0,1,2,2,2,2,2,
472,3,1,2,3,1,3,0,2,1,2,2,3,
473,2,2,3,0,3,0,2,1,2,1,3,2,
474,2,2,0,1,0,3,3,3,2,1,2,3,
475,0,0,2,3,2,3,3,2,2,0,3,3,
476,0,3,0,1,3,1,1,0,3,3,0,2,
477,2,0,1,1,3,2,2,0,2,2,3,1,
478,1,0,3,2,0,2,0,1,3,2,2,1,
479,1,1,3,3,0,2,0,2,2,2,2,2,
480,2,1,3,1,1,3,1,2,0,4,2,2,
481,0,3,3,0,1,0,1,2,3,2,1,2,
482,3,0,2,3,2,1,0,1,2,2,2,2,
483,1,3,1,2,0,1,2,0,2,3,2,1,
484,2,2,0,1,1,3,3,0,2,2,2,2,
485,3,1,2,0,2,0,1,3,2,2,2,2,
486,3,3,1,3,2,0,3,1,1,2,1,4,
487,0,0,3,3,3,2,1,0,3,1,1,3,
488,0,1,3,0,1,0,2,2,3,2,2,1,
489,3,0,3,2,0,2,1,3,2,1,2,3,
490,2,1,3,2,3,0,2,0,2,1,3,2,
491,2,2,0,1,1,3,1,3,1,3,2,2,
492,1,0,2,0,3,1,3,2,2,2,2,2,
493,2,1,1,3,1,3,0,1,1,4,1,2,
494,3,1,3,2,2,3,0,3,1,1,2,4,
495,1,0,3,3,0,1,2,0,3,2,1,2,
